sample_id,domain,model,condition,c_class,task_id,mutation_rule,tool_call_summary,final_state_summary,oracle_flag,reward,auto_explanation,trace_pointer,human_oracle_correct,human_failure_type,human_confidence,human_notes
oracle_baseline_success_unmutated_p5_3a1d7c251560,airline,dashscope/glm-5.1,baseline,baseline,1,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\airline_baseline_nonwyzlab_0004_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_4988c054a812,airline,dashscope/kimi-k2.6,baseline,baseline,16,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\airline_baseline_nonwyzlab_0003_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_c579b77ed492,airline,dashscope/qwen-max,baseline,baseline,0,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\airline_baseline_nonwyzlab_0001_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_9884e661a685,airline,deepseek/deepseek-v4-flash,baseline,baseline,44,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\airline_baseline_nonwyzlab_0001_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_722c311278a4,retail,dashscope/glm-5.1,baseline,baseline,18,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\baseline_0002_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_2da713f43740,retail,dashscope/kimi-k2.6,baseline,baseline,12,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\baseline_0001_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_a38d99919736,retail,dashscope/qwen-max,baseline,baseline,11,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\baseline_0000_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_c08d61249d0b,retail,deepseek/deepseek-v4-flash,baseline,baseline,12,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\baseline_0000_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_8d2fd4614e03,airline,dashscope/glm-5.1,baseline,baseline,42,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\airline_baseline_nonwyzlab_0005_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_85e2fc6285e6,airline,dashscope/kimi-k2.6,baseline,baseline,12,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\airline_baseline_nonwyzlab_0003_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_12e88e1e985c,airline,dashscope/qwen-max,baseline,baseline,37,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\airline_baseline_nonwyzlab_0002_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_f1263ad38e83,airline,deepseek/deepseek-v4-flash,baseline,baseline,20,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\airline_baseline_nonwyzlab_0000_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_b98eafb7ca2a,retail,dashscope/glm-5.1,baseline,baseline,1,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\baseline_0001_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_fbe09a17a804,retail,dashscope/kimi-k2.6,baseline,baseline,1,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\baseline_0001_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_ed3752de77be,retail,dashscope/qwen-max,baseline,baseline,10,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\baseline_0000_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_88817dec6dbf,retail,deepseek/deepseek-v4-flash,baseline,baseline,15,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\baseline_0000_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_e4aa2b0bf163,airline,dashscope/glm-5.1,baseline,baseline,1,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\airline_baseline_nonwyzlab_0004_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_edce379005e9,airline,dashscope/kimi-k2.6,baseline,baseline,40,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\airline_baseline_nonwyzlab_0004_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_1eefb0d2f3f4,airline,dashscope/qwen-max,baseline,baseline,27,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\airline_baseline_nonwyzlab_0002_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_a12d486b9d70,airline,deepseek/deepseek-v4-flash,baseline,baseline,29,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\airline_baseline_nonwyzlab_0000_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_ef814ab73f94,retail,dashscope/glm-5.1,baseline,baseline,2,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\baseline_0001_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_e132c144c918,retail,dashscope/kimi-k2.6,baseline,baseline,12,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\baseline_0001_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_3d0152a53447,retail,dashscope/qwen-max,baseline,baseline,9,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\baseline_0000_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_01f603cc1565,retail,deepseek/deepseek-v4-flash,baseline,baseline,11,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\baseline_0000_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_70eab24c64f4,airline,dashscope/glm-5.1,baseline,baseline,39,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\airline_baseline_nonwyzlab_0005_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_9a84ab6b1423,airline,dashscope/kimi-k2.6,baseline,baseline,42,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\airline_baseline_nonwyzlab_0004_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_ea8e34b209f5,airline,dashscope/qwen-max,baseline,baseline,38,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\airline_baseline_nonwyzlab_0002_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_e4daeb19202a,airline,deepseek/deepseek-v4-flash,baseline,baseline,48,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\airline_baseline_nonwyzlab_0001_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_12b8e6548f8a,retail,dashscope/glm-5.1,baseline,baseline,2,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\baseline_0001_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_c134e7067496,retail,dashscope/kimi-k2.6,baseline,baseline,11,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\baseline_0001_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_d2d029d4413e,retail,dashscope/qwen-max,baseline,baseline,10,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\baseline_0000_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_e6f2589031c5,retail,deepseek/deepseek-v4-flash,baseline,baseline,11,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\baseline_0000_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_6566011674a0,airline,dashscope/glm-5.1,baseline,baseline,35,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\airline_baseline_nonwyzlab_0005_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_20a0dace445d,airline,dashscope/kimi-k2.6,baseline,baseline,49,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\airline_baseline_nonwyzlab_0004_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_b0f2057b5579,airline,dashscope/qwen-max,baseline,baseline,48,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\airline_baseline_nonwyzlab_0002_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_a408ed2a7996,airline,deepseek/deepseek-v4-flash,baseline,baseline,14,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\airline_baseline_nonwyzlab_0000_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_1b419d70962c,retail,dashscope/glm-5.1,baseline,baseline,17,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\baseline_0002_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_24665caf23a8,retail,dashscope/kimi-k2.6,baseline,baseline,4,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\baseline_0001_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_d4437d25d177,retail,dashscope/qwen-max,baseline,baseline,12,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\baseline_0000_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_9cc02c669728,retail,deepseek/deepseek-v4-flash,baseline,baseline,17,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\baseline_0000_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_d7246eb51e00,airline,dashscope/glm-5.1,baseline,baseline,28,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\airline_baseline_nonwyzlab_0005_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_499e1c953d76,airline,dashscope/kimi-k2.6,baseline,baseline,14,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\airline_baseline_nonwyzlab_0003_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_5ef44cdddd6b,airline,dashscope/qwen-max,baseline,baseline,36,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\airline_baseline_nonwyzlab_0002_status.jsonl,,,,
