entry_id,provider,date,title,url,short_paraphrase,evidence_snippet,auto_taxonomy_class,auto_c_subclass,auto_schema_visible,auto_runtime_visible,auto_agent_task_relevance,auto_label_rationale,human_taxonomy_class,human_c_subclass,human_schema_visible,human_runtime_visible,human_agent_task_relevance,human_confidence,human_notes,accept_for_paper_example
anthropic_00ba2e322aee,Anthropic,2026-04-01,Memory for Claude Managed Agents is now in public beta under the standard managed-agents-2026-04-01 header. See Using agent memory for the full integration guide.,https://docs.anthropic.com/docs/en/managed-agents/memory,Official changelog entry indicates semantic behavior relevant to none.,Memory for Claude Managed Agents is now in public beta under the standard managed-agents-2026-04-01 header. See Using agent memory for the full integration guide.,C,none,false,unknown,high,Semantic behavior keyword matched; subclass=none.,,,,,,,,
anthropic_709b7ed01d6b,Anthropic,2026-04-01,Multi-agent sessions and Outcomes are now in public beta under the standard managed-agents-2026-04-01 beta header.,https://docs.anthropic.com/docs/en/managed-agents/multi-agent,Official changelog entry appears to combine schema/protocol edits with semantic behavior changes.,Claude Managed Agents vault credential background refresh is now supported for mcp_oauth credentials. See Authenticate with vaults . Webhooks for Claude Managed Agents are,mixed,none,true,unknown,high,Both schema/protocol and semantic keywords matched; subclass=none.,,,,,,,,
anthropic_1efd34b3c1c5,Anthropic,unknown,"Additional filtering and sorting options are now supported for Claude Managed Agents. Sessions can be filtered by status, and events can be filtered by type. Events can now be filtered by creation time.",https://docs.anthropic.com/en/release-notes/api,Official changelog entry appears to combine schema/protocol edits with semantic behavior changes.,"Additional filtering and sorting options are now supported for Claude Managed Agents. Sessions can be filtered by status, and events can be filtered by",mixed,C3_default_behavior,true,unknown,high,Both schema/protocol and semantic keywords matched; subclass=C3_default_behavior.,,,,,,,,
anthropic_b0f447baa1f4,Anthropic,unknown,Claude Managed Agents vault credential background refresh is now supported for mcp_oauth credentials. See Authenticate with vaults .,https://docs.anthropic.com/docs/en/managed-agents/vaults,Official changelog entry appears to combine schema/protocol edits with semantic behavior changes.,Webhooks for Claude Managed Agents are now supported. Webhook event types include session and vault lifecycle events. See Subscribe to webhooks . Additional filtering,mixed,C3_default_behavior,true,unknown,high,Both schema/protocol and semantic keywords matched; subclass=C3_default_behavior.,,,,,,,,
anthropic_be753b1a8ca7,Anthropic,unknown,Controlling thinking display,https://docs.anthropic.com/docs/en/build-with-claude/extended-thinking#controlling-thinking-display,Official changelog entry indicates a surface or representation change.,Controlling thinking display,A,none,unknown,unknown,low,Surface/representation keyword matched.,,,,,,,,
anthropic_bdcafb9317dd,Anthropic,unknown,"MCP tunnels is now available as a research preview, so you can connect to MCP servers in your private network.",https://docs.anthropic.com/docs/en/agents-and-tools/mcp-tunnels/overview,Official changelog entry indicates semantic behavior relevant to none.,"Self-hosted sandboxes are now available for Claude Managed Agents, as an alternative to running tool execution in Anthropic's infrastructure. See Self-hosted sandboxes . With",C,none,false,unknown,high,Semantic behavior keyword matched; subclass=none.,,,,,,,,
anthropic_56d8a804f4e1,Anthropic,unknown,"On the Claude API, you are no longer billed for a request when it returns stop_reason: ""refusal"" without Claude having generated any output. See Streaming refusals for detecting and handling refusals.",https://docs.anthropic.com/docs/en/test-and-evaluate/strengthen-guardrails/handle-streaming-refusals,Official changelog entry indicates semantic behavior relevant to C4_business_rule.,"On the Claude API, you are no longer billed for a request when it returns stop_reason: ""refusal"" without Claude having generated any output. See",C,C4_business_rule,false,unknown,high,Semantic behavior keyword matched; subclass=C4_business_rule.,,,,,,,,
anthropic_8cd8a700d1f8,Anthropic,unknown,"Self-hosted sandboxes are now available for Claude Managed Agents, as an alternative to running tool execution in Anthropic's infrastructure. See Self-hosted sandboxes .",https://docs.anthropic.com/docs/en/managed-agents/self-hosted-sandboxes,Official changelog entry indicates semantic behavior relevant to C3_default_behavior.,"With Claude Managed Agents, you can now update the agent's MCP server and tool configurations associated with an active session. With Claude Managed Agents,",C,C3_default_behavior,false,unknown,high,Semantic behavior keyword matched; subclass=C3_default_behavior.,,,,,,,,
anthropic_99c862f23cdf,Anthropic,unknown,Subscribe to webhooks,https://docs.anthropic.com/docs/en/managed-agents/webhooks,Official changelog entry indicates an operational or protocol behavior change.,Subscribe to webhooks,D,none,unknown,unknown,high,Protocol/operational keyword matched.,,,,,,,,
anthropic_7575e78f6524,Anthropic,unknown,"The code execution tool now supports code_execution_20260521 , which discloses the 90-second per-cell execution time limit in the tool description so Claude can budget long-running cells. No beta header is required.",https://docs.anthropic.com/docs/en/agents-and-tools/tool-use/code-execution-tool,Official changelog entry appears to combine schema/protocol edits with semantic behavior changes.,"The web search tool and web fetch tool now support web_search_20260318 and web_fetch_20260318 , adding a response_inclusion parameter to drop consumed result blocks from",mixed,C4_business_rule,true,True,high,Both schema/protocol and semantic keywords matched; subclass=C4_business_rule.,,,,,,,,
